Date,Open,High,Low,Close,Adj Close,Volume
05-02-2021,13824.87988,13878.16016,13761.66016,13856.29981,13856.29981,6697720000
08-02-2021,13937.05957,13987.74023,13894.15039,13987.63965,13987.63965,8439940000
09-02-2021,13966.82031,14044.9502,13966.54981,14007.7002,14007.7002,8658980000
10-02-2021,14093.34961,14109.12012,13845.46973,13972.53027,13972.53027,10165550000
11-02-2021,14045.20996,14058.91016,13916.84961,14025.76953,14025.76953,10000200000
12-02-2021,13979.20996,14102.04004,13937.70996,14095.46973,14095.46973,7352960000
16-02-2021,14152.20996,14175.12012,13995.4502,14047.5,14047.5,7646300000
17-02-2021,13911.65039,13976.42969,13804.25977,13965.49023,13965.49023,7227140000
18-02-2021,13814.66992,13905.95996,13714.34961,13865.36035,13865.36035,6454280000
19-02-2021,13929.2002,13985.58008,13842.59961,13874.45996,13874.45996,6686060000
22-02-2021,13714.2002,13757.05957,13530.95996,13533.04981,13533.04981,6435100000
23-02-2021,13262.61035,13526.08984,13003.98047,13465.2002,13465.2002,7482840000
24-02-2021,13400.25,13607.36035,13286.58984,13597.96973,13597.96973,5793430000
25-02-2021,13512.63965,13602.86035,13066.37988,13119.42969,13119.42969,6335240000
26-02-2021,13232.90039,13368.05957,13024.53027,13192.34961,13192.34961,5883880000
01-03-2021,13406.16016,13596.58984,13362.66016,13588.83008,13588.83008,5047710000
02-03-2021,13599.4502,13601.33008,13352,13358.79004,13358.79004,4920320000
03-03-2021,13336.25,13372.51953,12995.07031,12997.75,12997.75,5493960000
04-03-2021,12953.99023,13068.70996,12553.95996,12723.46973,12723.46973,7799710000
05-03-2021,12860.04004,12941.20996,12397.04981,12920.15039,12920.15039,7696900000
08-03-2021,12904.25977,13001,12599.23047,12609.16016,12609.16016,5971260000
09-03-2021,12923.07031,13151.54004,12882.49023,13073.82031,13073.82031,6294910000
10-03-2021,13234.73047,13277.11035,13035.44043,13068.83008,13068.83008,5991730000
11-03-2021,13273.30957,13433.62012,13246.33008,13398.66992,13398.66992,5956260000
12-03-2021,13222.80957,13324.69043,13158.71973,13319.86035,13319.86035,5472340000
15-03-2021,13323.46973,13460.34961,13272.5,13459.70996,13459.70996,5933440000
16-03-2021,13523.16992,13620.70996,13397.08008,13471.57031,13471.57031,5463770000
17-03-2021,13336.91016,13595,13272.69043,13525.2002,13525.2002,5465500000
